trimestre,inflacion_acumulada,open,close,volume,rendimiento_bma
2020Q1,3.3,27.125949205651438,12.6642484664917,24197100,-53.313160138730844
2020Q2,2.2,11.940788152395712,13.835206031799316,47132500,15.865099147777132
2020Q3,2.8,13.812831030776472,10.66541576385498,30357500,-22.786170770558996
2020Q4,4.0,10.598287991261367,11.612624168395996,20776300,9.57075499336291
2021Q1,4.8,11.702120597415323,9.956872940063477,18573700,-14.913943526930701
2021Q2,3.2,9.964332400582721,11.209872245788574,21696200,12.499982890303949
2021Q3,3.5,11.247164904058373,12.671704292297363,19163700,12.665764220501174
2021Q4,3.8,12.820870886590281,10.456582069396973,18152100,-18.44093773431715
2022Q1,6.7,10.441663469930857,12.902915000915527,15937200,23.571450450135682
2022Q2,5.3,13.156497254194056,8.743440628051758,13867200,-33.542792894480286
2022Q3,6.2,8.751247275871167,11.358663558959961,18796600,29.794796111840316
2022Q4,5.1,11.669098365639275,13.284466743469238,10286000,13.843129325111892
2023Q1,7.7,13.276374386314094,14.409034729003906,16886100,8.531398028797765
2023Q2,6.0,14.417122877368124,21.350608825683594,16208500,48.09202229384891
2023Q3,12.7,21.43960709344773,17.4996395111084,17146300,-18.37705124523222
2023Q4,25.5,17.52624797007172,25.45563316345215,23557600,45.24291341147778
2024Q1,11.0,25.012158899188883,43.70772171020508,23173100,74.74589813045876
2024Q2,6.0,44.06151586893212,53.4934196472168,26882300,21.406217176779286
2024Q3,6.0,53.71735918389895,63.113182067871094,18324300,17.491222626573972
2024Q4,6.0,62.78519213595452,96.17057800292969,18151100,53.17398056962658
